host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Entire apartment in Soho,Soho,DISCOUNTED Nice beach inspired apartment in SoHo,2.0,na,na,50.0
SUPERHOST,Hotel room in Manhattan,Manhattan,City Queen,2.0,4.54,188,69.0
SUPERHOST,Private room in Manhattan,Manhattan,Charming Room in New York City,2.0,4.75,4,47.0
SUPERHOST,Private room in South Street Seaport,SouthStreetSeaport,Lovely Room with Great Views at Financial District,2.0,4.62,13,56.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,5.0,6,79.0
SUPERHOST,Entire apartment in Tribeca,Tribeca,Tribeca Studio in Pet-Friendly Building,2.0,na,na,128.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Beautiful King Bed Hotel Room,2.0,4.8,5,79.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,Furnished Studio Apartment,2.0,na,na,70.0
SUPERHOST,Hotel room in Midtown,Midtown,Queen Room,2.0,4.63,98,69.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,Large Private Suite in the Heart of Midtown,4.0,3.56,505,77.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Amazing Master Bedroom in Historic Brooklyn,2.0,4.93,317,36.0
SUPERHOST,Entire house in Flatbush,Flatbush,Flatbush Hideaway - Quiet and close to subway!,4.0,4.86,95,39.0
SUPERHOST,Private room in Queens,Queens,"Gold Room in Old American Style House, Near Subway",2.0,5.0,8,23.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Best Quiet Apartment / Union Square,3.0,4.81,36,51.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Courtyard Queen,2.0,4.56,327,69.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Near Broadway / King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Hotel room in Manhattan,Manhattan,High Floor River View w/ King Bed Hotel Room,2.0,4.6,10,89.0
SUPERHOST,Hotel room in Midtown,Midtown,King Room City,2.0,4.54,477,79.0
SUPERHOST,Private room in East Village,EastVillage,Discount $48 Tonight! No hidden fees in Manhattan,2.0,4.83,279,55.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful 2 Double Bed Hotel Room,4.0,5.0,15,79.0
SUPERHOST,Entire apartment in Inwood,Inwood,"Cosy Apartment-Inwood 4 min to train 1, A, &Park",1.0,5.0,7,50.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Nolitan Hotel, Balcony Room",2.0,4.25,8,86.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Studio Apartment Full Bath 15 Minutes From JFK,2.0,4.79,81,55.0
SUPERHOST,Entire apartment in Pelham Bay,PelhamBay,Charming Apartment with Private Backyard,4.0,4.89,131,30.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Modern 1 Bedroom Apt - Trendy & Historic Downtown,4.0,4.9,39,71.0
SUPERHOST,Entire apartment in West Village,WestVillage,Vintage Loft Style Studio - Greenwich/Union Square,4.0,4.81,32,46.0
SUPERHOST,Private room in Manhattan,Manhattan,Penthouse with Downtown Views in Nolita,2.0,4.42,12,39.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Home Away from Home-Room in Midtown,2.0,4.75,226,35.0
SUPERHOST,Entire apartment in Greenwich Village,GreenwichVillage,1BR Penthouse in SoHo / Greenwich Village,2.0,4.67,3,90.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Gild Hall - Luxury Boutique Hotel, King Bed",2.0,4.33,3,100.0
SUPERHOST,Private room in Washington Heights,WashingtonHeights,Beautiful Bedroom in Manhattan,2.0,4.25,112,30.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Private Apt with 2 beds at Gramercy park,2.0,4.13,8,38.0
SUPERHOST,Private room in Upper East Side,UpperEastSide,UES - Manhattan Cozy Room/ Elevator Building,2.0,5.0,31,34.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,1 bedroom apartment historic Clinton Hill -,2.0,na,na,30.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Two Twin Room,2.0,4.46,123,69.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.86,7,89.0
SUPERHOST,Hotel room in Midtown,Midtown,King Room Sky,2.0,4.64,156,99.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,4.38,8,79.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Enjoy the best of Harlem in this comfortable home,2.0,5.0,28,58.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Penthouse Studio w/ NYC Views from Private Balcony,2.0,na,na,65.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Cozy Brooklyn Hideaway,2.0,5.0,8,61.0
SUPERHOST,Private room in Queens,Queens,"Room w/ Private Balcony, Next to Train, LGA/MNHTN",1.0,na,na,28.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful 2 Double Bed Hotel Room,4.0,5.0,9,79.0
SUPERHOST,Entire apartment in Midtown,Midtown,Superior Junior 1 bedroom apt. in the heart of NYC,2.0,na,na,60.0
SUPERHOST,Private room in Manhattan,Manhattan,Classic Harlem Brownstone - Manhattan,3.0,4.62,261,21.0
